run_0_r4_alpha16_drop0.0_lr7e-05_bs8 | macro_f1: 0.8092707464541706 | val_loss: 0.16986322402954102
run_1_r8_alpha16_drop0.0_lr5e-05_bs8 | macro_f1: 0.7844176062033205 | val_loss: 0.18675090372562408
run_2_r8_alpha16_drop0.0_lr7e-05_bs8 | macro_f1: 0.8072782061880528 | val_loss: 0.17112432420253754
run_3_r8_alpha64_drop0.0_lr3e-05_bs4 | macro_f1: 0.8922646757429366 | val_loss: 0.16776710748672485
run_4_r16_alpha32_drop0.0_lr7e-05_bs8 | macro_f1: 0.8495911495911496 | val_loss: 0.16794006526470184
run_5_r32_alpha64_drop0.1_lr3e-05_bs4 | macro_f1: 0.8583499833499832 | val_loss: 0.1679752618074417
run_0_r8_alpha16_drop0.0_lr0.0003_bs4 | macro_f1: 0.8383332169622493 | val_loss: 0.1657925546169281
run_1_r4_alpha32_drop0.0_lr0.0001_bs4 | macro_f1: 0.8171475256769375 | val_loss: 0.16593554615974426
run_2_r8_alpha32_drop0.0_lr5e-05_bs4 | macro_f1: 0.8599613714745293 | val_loss: 0.16772477328777313
run_3_r4_alpha16_drop0.0_lr0.0001_bs8 | macro_f1: 0.8522781498934213 | val_loss: 0.16803452372550964
run_4_r16_alpha128_drop0.1_lr5e-05_bs8 | macro_f1: 0.8195260427403285 | val_loss: 0.1673908531665802
run_5_r8_alpha64_drop0.0_lr0.0002_bs4 | macro_f1: 0.827146449126315 | val_loss: 0.16432660818099976
run_6_r16_alpha32_drop0.1_lr3e-05_bs4 | macro_f1: 0.8224481658692185 | val_loss: 0.16830162703990936
run_7_r32_alpha128_drop0.1_lr3e-05_bs8 | macro_f1: 0.8756806710954177 | val_loss: 0.1681678742170334
run_8_r32_alpha64_drop0.1_lr5e-05_bs4 | macro_f1: 0.8370682888540032 | val_loss: 0.16741928458213806
run_9_r16_alpha32_drop0.0_lr3e-05_bs8 | macro_f1: 0.7875785434946925 | val_loss: 0.19538427889347076
run_10_r16_alpha32_drop0.1_lr0.0003_bs8 | macro_f1: 0.8581698456698457 | val_loss: 0.16637463867664337
run_11_r16_alpha128_drop0.0_lr0.0002_bs8 | macro_f1: 0.740082304526749 | val_loss: 0.1649037003517151
run_12_r16_alpha128_drop0.0_lr0.0003_bs8 | macro_f1: 0.8132064495475091 | val_loss: 0.16621889173984528
run_13_r16_alpha32_drop0.1_lr0.0002_bs4 | macro_f1: 0.8350526548719753 | val_loss: 0.16495215892791748
run_14_r16_alpha128_drop0.1_lr0.0001_bs8 | macro_f1: 0.8592839782841992 | val_loss: 0.1660214066505432
run_15_r8_alpha64_drop0.0_lr0.0001_bs8 | macro_f1: 0.8486102107504434 | val_loss: 0.16686318814754486
run_16_r16_alpha64_drop0.0_lr3e-05_bs8 | macro_f1: 0.8188454927425515 | val_loss: 0.16934944689273834
